Dataset Name,Category,Download URL,Description,Size,Additional Info
MACCDC,Competition & Exercise,https://www.netresec.com/?page=MACCDC,Mid-Atlantic Collegiate Cyber Defense Competition,Various,National CyberWatch competition
ISTS,Competition & Exercise,https://www.netresec.com/?page=ISTS,Information Security Talent Search,Various,Competition traffic captures
CDX 2009,Competition & Exercise,http://www.westpoint.edu/crc/SitePages/DataSets.aspx,Inter-Service Academy Cyber Defense Competition,Various,US Military Academy dataset
Wireshark Sample Captures,Specialized,https://nostarch.com/download/ppa-capture-files.zip,Practical Packet Analysis book supplements,330MB,Educational samples by Chris Sanders
The Ultimate PCAP,Specialized,https://weberblog.net/the-ultimate-pcap/,Single comprehensive PCAP with 50+ protocols,Medium,Continuously updated
Megalodon Challenge,Specialized,http://www.packet-foo.com/megalodon2015/MegalodonChallenge.7z,Real-world network analysis challenge,3.8GB,Sanitized PCAP-NG files
Megalodon Blog Post,Specialized,https://blog.packet-foo.com/2015/07/the-megalodon-challenge/,Description and background for Megalodon Challenge,N/A,Problem description
Steve Karg BACnet,Specialized,http://kargs.net/captures/,Building automation and control network traffic,Various,BACnet protocol focus
Honeybadger PCAP,Specialized,https://github.com/david415/honeybadger-pcap-files,TCP injection attack samples,Small,Research on TCP attacks
Campus DNS Traffic,Specialized,https://data.mendeley.com/datasets/zh3wnddzxy/1,4000+ users DNS traffic over 10 days,10GB+,April-May 2016 campus network
FOI SMIA 2011,Specialized,https://download.netresec.com/pcap/smia-2011/,Swedish Defence Research Agency dataset,Various,Information Warfare Lab
FOI SMIA 2011 FTP,Specialized,ftp://download.iwlab.foi.se/dataset/smia2011/Network_traffic/,FTP server for SMIA 2011,Various,Direct FTP access
FOI SMIA 2012,Specialized,ftp://download.iwlab.foi.se/dataset/smia2012/network_traffic/pcap/,2012 version of FOI dataset,Various,Continuation of 2011 dataset
IEEE DataPort PCAPs,Specialized,https://ieee-dataport.org/data-formats/pcap-zip,Various specialized datasets including IoT,Various,Academic research datasets
Shadowbrokers PCAPs,Specialized,https://www.dropbox.com/sh/kk24ewnqi9qjdvt/AACj7AHJrDHQeyJTuo1oBqeQa,ETERNALBLUE and ETERNALROMANCE traffic,Medium,By Eric Conrad
Digital Corpora - Nitroba,Forensics,Various,"Network forensics scenario with harassment case, includes slides and solution",Medium,Educational forensics scenario
FIRST 2015 Training,Forensics,https://www.first.org/conference/2015/program#phands-on-network-forensics,Hands-on Network Forensics training dataset,5.8GB VM,Includes SecurityOnion VM
Laura Chappell Lab Kit,Training,http://cdn.novell.com/cached/video/bs_08/LLK9.iso,Network analysis study materials,1.5TB,ISO image format
Wireshark 101,Training,http://wiresharkbook.com/wireshark101.html,Essential Skills for Network Analysis supplements,330MB,Book companion files
Chris Sanders Captures,Training,http://chrissanders.org/packet-captures/,Freely available educational captures,Various,Network analysis training
Pcapr Repository,Tools & Services,http://www.pcapr.net/,Capture repository with various traffic types,Various,Mu Dynamics service
A-Packets Online,Tools & Services,https://apackets.com/,Online PCAP analysis and visualization,N/A,Web-based analysis tool
ACS MILCOM 2016,Government,https://www.netresec.com/?page=ACS_MILCOM_2016,Applied Communication Sciences military dataset,Medium,Military communications research
CAIDA Datasets,Research,https://www.caida.org/,Internet measurement and analysis datasets,Various,6 specialized security datasets
Real Network Environment,Recent Research,https://www.nature.com/articles/s41597-025-04876-2,Real-time Internet traffic from actual network (2025),Large,Published in Scientific Data journal
CCCS-CIC-AndMal-2020,Mobile Malware,https://www.cs.unb.ca/~alashkar/Data-sets.asp,400K Android apps with malware samples,Large,200K benign + 200K malware
DIDarknet,Darknet Traffic,https://www.cs.unb.ca/~alashkar/Data-sets.asp,Darknet traffic characterization using deep learning,Medium,Tor and darknet protocols
ISCXVPN2016,VPN Traffic,https://www.cs.unb.ca/~alashkar/Data-sets.asp,VPN and non-VPN encrypted traffic,Medium,Time-related features analysis
IoT Attack Dataset 2023,IoT Security,Various sources,Large-scale IoT attack scenarios,Large,Real-time benchmark for IoT environments
Awesome PCAP Tools,Tool Collection,https://github.com/caesar0301/awesome-pcaptools,Collection of PCAP processing tools and datasets,N/A,Tool references and dataset links
